,Time,Message Size,Protocol
0,6201.623075,256,Parameter_Marshalling
1,3477.240552,256,Message
2,6094.393421,256,Message_w/o_allocation
3,4987.822600,256,Parameter_Marshalling
4,4792.499400,256,Message
5,6029.716800,256,Message_w/o_allocation
6,4992.963200,256,Parameter_Marshalling
7,4761.487300,256,Message
8,4869.671100,256,Message_w/o_allocation
9,5054.020700,256,Parameter_Marshalling
10,4083.317900,256,Message
11,5192.530300,256,Message_w/o_allocation
12,5795.559888,256,Parameter_Marshalling
13,4781.925915,256,Message
14,4900.644871,256,Message_w/o_allocation
15,6350.113500,256,Parameter_Marshalling
16,3497.943500,256,Message
17,6053.547400,256,Message_w/o_allocation
18,4969.915000,256,Parameter_Marshalling
19,3478.507100,256,Message
20,6201.620000,256,Message_w/o_allocation
21,4953.811938,256,Parameter_Marshalling
22,4788.914717,256,Message
23,5221.000500,256,Message_w/o_allocation
24,5809.899700,256,Parameter_Marshalling
25,3590.269600,256,Message
26,5195.834600,256,Message_w/o_allocation
27,6238.809700,256,Parameter_Marshalling
28,3491.610600,256,Message
29,5234.090300,256,Message_w/o_allocation
30,9702.914717,512,Parameter_Marshalling
31,6554.441812,512,Message
32,9496.309238,512,Message_w/o_allocation
33,8468.902500,512,Parameter_Marshalling
34,7668.854900,512,Message
35,8175.038900,512,Message_w/o_allocation
36,8449.188500,512,Parameter_Marshalling
37,7746.426500,512,Message
38,9480.248800,512,Message_w/o_allocation
39,9985.842700,512,Parameter_Marshalling
40,6466.658500,512,Message
41,8218.381300,512,Message_w/o_allocation
42,9046.968506,512,Parameter_Marshalling
43,7783.682663,512,Message
44,8187.021196,512,Message_w/o_allocation
45,8436.336400,512,Parameter_Marshalling
46,7963.399700,512,Message
47,9446.731800,512,Message_w/o_allocation
48,8419.066000,512,Parameter_Marshalling
49,7782.859800,512,Message
50,9492.328500,512,Message_w/o_allocation
51,8458.316237,512,Parameter_Marshalling
52,7783.078584,512,Message
53,8807.455709,512,Message_w/o_allocation
54,8442.446900,512,Parameter_Marshalling
55,7778.009700,512,Message
56,8647.300400,512,Message_w/o_allocation
57,8442.369800,512,Parameter_Marshalling
58,7793.443800,512,Message
59,9498.726500,512,Message_w/o_allocation
60,16569.084883,1024,Parameter_Marshalling
61,13248.241352,1024,Message
62,15118.082484,1024,Message_w/o_allocation
63,15694.100000,1024,Parameter_Marshalling
64,12992.866800,1024,Message
65,16383.221400,1024,Message_w/o_allocation
66,15669.471900,1024,Parameter_Marshalling
67,14016.921400,1024,Message
68,15044.939500,1024,Message_w/o_allocation
69,16282.729300,1024,Parameter_Marshalling
70,13652.733500,1024,Message
71,15122.829300,1024,Message_w/o_allocation
72,15568.756449,1024,Parameter_Marshalling
73,13423.036693,1024,Message
74,15113.970506,1024,Message_w/o_allocation
75,14363.327100,1024,Parameter_Marshalling
76,14798.630200,1024,Message
77,13822.250800,1024,Message_w/o_allocation
78,16029.270700,1024,Parameter_Marshalling
79,13509.849900,1024,Message
80,15126.831800,1024,Message_w/o_allocation
81,15099.581484,1024,Parameter_Marshalling
82,14704.535593,1024,Message
83,13586.839732,1024,Message_w/o_allocation
84,15378.496000,1024,Parameter_Marshalling
85,13514.278200,1024,Message
86,15035.299400,1024,Message_w/o_allocation
87,15345.799800,1024,Parameter_Marshalling
88,13499.144900,1024,Message
89,15458.277400,1024,Message_w/o_allocation
90,29972.247151,2048,Parameter_Marshalling
91,25444.748350,2048,Message
92,27741.965207,2048,Message_w/o_allocation
93,29237.394700,2048,Parameter_Marshalling
94,26469.640100,2048,Message
95,27790.620400,2048,Message_w/o_allocation
96,28904.146000,2048,Parameter_Marshalling
97,26394.136600,2048,Message
98,26661.695200,2048,Message_w/o_allocation
99,30140.688100,2048,Parameter_Marshalling
100,25931.992200,2048,Message
101,27229.347300,2048,Message_w/o_allocation
102,28923.280044,2048,Parameter_Marshalling
103,26475.626075,2048,Message
104,27620.047091,2048,Message_w/o_allocation
105,28923.526300,2048,Parameter_Marshalling
106,26852.370500,2048,Message
107,26216.452400,2048,Message_w/o_allocation
108,29092.690500,2048,Parameter_Marshalling
109,27185.147400,2048,Message
110,26509.392600,2048,Message_w/o_allocation
111,28732.894121,2048,Parameter_Marshalling
112,26489.294041,2048,Message
113,26410.167367,2048,Message_w/o_allocation
114,28734.236500,2048,Parameter_Marshalling
115,26479.152900,2048,Message
116,28882.885200,2048,Message_w/o_allocation
117,28839.887600,2048,Parameter_Marshalling
118,27768.161400,2048,Message
119,26037.339700,2048,Message_w/o_allocation
120,58110.681264,4096,Parameter_Marshalling
121,52902.773145,4096,Message
122,52665.029394,4096,Message_w/o_allocation
123,58769.043400,4096,Parameter_Marshalling
124,52914.128100,4096,Message
125,52570.426900,4096,Message_w/o_allocation
126,58286.447500,4096,Parameter_Marshalling
127,52326.194600,4096,Message
128,52626.018300,4096,Message_w/o_allocation
129,58187.614000,4096,Parameter_Marshalling
130,54405.113500,4096,Message
131,52655.266200,4096,Message_w/o_allocation
132,57774.697760,4096,Parameter_Marshalling
133,53358.484403,4096,Message
134,53269.852729,4096,Message_w/o_allocation
135,57470.499000,4096,Parameter_Marshalling
136,54165.228300,4096,Message
137,52356.656800,4096,Message_w/o_allocation
138,57342.317400,4096,Parameter_Marshalling
139,53880.398700,4096,Message
140,53922.521800,4096,Message_w/o_allocation
141,57495.440412,4096,Parameter_Marshalling
142,51925.411818,4096,Message
143,53859.919516,4096,Message_w/o_allocation
144,56699.733400,4096,Parameter_Marshalling
145,55375.421800,4096,Message
146,52543.985400,4096,Message_w/o_allocation
147,57502.563200,4096,Parameter_Marshalling
148,53989.368300,4096,Message
149,51774.827700,4096,Message_w/o_allocation
150,113769.375825,8192,Parameter_Marshalling
151,104487.626075,8192,Message
152,103833.312438,8192,Message_w/o_allocation
